location_resolution,state,local_area,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Hotels/lodging,"Owners, managers or operators of hotels, lodging and short term rentals must adopt the County’s Reopening Protocol for Hotels, Lodging and Short-Term Rentals.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Entertainment/concert venues/nightclubs,All hosts and participants of vehicle-based parades or drive thru events must adopt the County’s Protocol for Vehicle Based Parades or Drive Thru Events.,2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Essential business (inclusive),"The owner, manager, or operator of office-based businesses must adopt the County’s Office-Based Worksites Protocol.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Entertainment/concert venues/nightclubs,"Owners, managers or operators of museums, galleries, zoos and aquariums must adopt the County’s Reopening Protocol for Museums, Galleries, Zoos, and Aquariums.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space; General population (inclusive),All visitors to tennis and pickleball courts must adopt the County’s Tennis Pickleball Courts Protocols.,2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space; Indoor recreation/sports facility,"The owner, manager or operator of public swimming pools, including campground pools, club pools, commercial pools, health or fitness clubs, hotel pools, licensed day care facility pools, medical facility pools, mineral spring pools, motel pools, municipal pools, public or private school pools; recreational or mobile home park pools, resort pools, special purpose pools, and swim school pools must adopt the County’s Protocols for Reopening of Public Swimming Pools.",2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Other,Social distancing,Adaptation and mitigation measures,General population (inclusive); Outdoor recreation or space,All hikers and visitors of trails  must adopt the County’s Trail Use Protocols.,2020-08-07,2020-08-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Relaxing,Social distancing,Private sector closures,Grocery store; Transportation sector/shipping/logistics; Essential business (inclusive); Essential workers (inclusive),"The owner, manager, or operator of any business engaged in Essential Activities shall prepare and post a Social Distancing Protocol for each of their facilities within the City of Los Angeles. All such businesses shall implement the Social Distancing Protocol and provide evidence of its implementation to any authority enforcing this Order upon demand.",2020-05-07,2020-05-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Non essential workers (inclusive),"Non-Essential Businesses. Businesses regarded under this Order as “non-essential” may be permitted to conduct minimum basic operations including inventory, security, custodial services, payroll and employee benefits processing, and any reasonable activity designed to maximize the ability for its employees to work remotely from their homes.",2020-05-27,2020-05-27,Unspecified,2020-07-16,
Local,California,"Los Angeles (city), CA",Restricting,Social distancing,Distancing mandate,Essential business (inclusive); Essential workers (inclusive); Grocery store; Farming/Agriculture/Food processing; Retail stores (not including food); Hotels/lodging,"All employers of essential non-medical workers must implement social distancing measures for customers, visitors, and employees that provides a six-foot buffer, to the extent possible, between individuals.",2020-05-07,2020-05-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Essential business (inclusive); Essential workers (inclusive); Grocery store; Farming/Agriculture/Food processing; Retail stores (not including food); Hotels/lodging,Employers of all essential non-medical workers must permit their employees to wash their hands or use hand sanitizer at least every 30 minutes.,2020-05-07,2020-05-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Grocery store; Transportation sector/shipping/logistics; Essential business (inclusive); Essential workers (inclusive),"Individuals and businesses that ship or deliver groceries, food, beverages or goods directly to residences or businesses, as well as taxis, ride sharing services, car rental companies, and other private transportation services must provide drivers non-medical grade face coverings and hand sanitizing agents, and do so at the expense of the business.",2020-05-07,2020-05-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Essential business (inclusive); Essential workers (inclusive); Grocery store; Farming/Agriculture/Food processing; Retail stores (not including food); Hotels/lodging,"All employers of essential non-medical workers  must ensure that their employees have access to clean, sanitary restrooms, stocked with all necessary cleansing products; or sanitizing agents required to observe hand sanitation protocols recommended by the Los Angeles County Department of Public Health, provided at the employer’s expense.",2020-05-07,2020-05-07,Unspecified,Unspecified,
Local,California,"Los Angeles (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"The operator of pools, hot tubs, and saunas that are in a multi-unit residence or part of a Homeowners’ Association must adopt the County’s Protocols for Reopening of Swimming Pools in Shared Residential Facilities.",2020-05-27,2020-05-27,Unspecified,2020-07-16,
Local,California,"Los Angeles (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Essential business (inclusive),All operators and participants of substance use disorder and mental health support groups must adopt the County’s Substance Use Disorder and Mental Health Support Groups Protocols.,2020-05-27,2020-05-27,Unspecified,2020-07-16,
Local,California,"Los Angeles (city), CA",Restricting,Social distancing,Mass gathering restrictions,General population (inclusive),All public and private gatherings of any number of people occurring outside a residence are prohibited. This provision does not apply to gatherings within a single household or living unit.,2020-05-27,2020-05-27,Unspecified,Unspecified,
